Epoch,Class,Precision,Recall,Class F1,Macro F1,MCC
0.0,0.0,0.3981308411214953,0.9906976744186047,0.568,0.142,-0.02284248361251602
0.0,1.0,0.0,0.0,0.0,0.142,-0.02284248361251602
0.0,2.0,0.0,0.0,0.0,0.142,-0.02284248361251602
0.0,3.0,0.0,0.0,0.0,0.142,-0.02284248361251602
1.0,0.0,0.41222879684418146,0.9720930232558139,0.5789473684210527,0.18923945990631028,0.09503528813558659
1.0,1.0,0.0,0.0,0.0,0.18923945990631028,0.09503528813558659
1.0,2.0,0.0,0.0,0.0,0.18923945990631028,0.09503528813558659
1.0,3.0,0.53125,0.1069182389937107,0.17801047120418848,0.18923945990631028,0.09503528813558659
2.0,0.0,0.50625,0.7534883720930232,0.6056074766355141,0.33676531947343924,0.24066432388165523
2.0,1.0,0.0,0.0,0.0,0.33676531947343924,0.24066432388165523
2.0,2.0,0.36363636363636365,0.14035087719298245,0.20253164556962025,0.33676531947343924,0.24066432388165523
2.0,3.0,0.5142857142857142,0.5660377358490566,0.5389221556886228,0.33676531947343924,0.24066432388165523
3.0,0.0,0.5637860082304527,0.6372093023255814,0.5982532751091703,0.37699067155299876,0.2692110223367831
3.0,1.0,0.0,0.0,0.0,0.37699067155299876,0.2692110223367831
3.0,2.0,0.38095238095238093,0.3508771929824561,0.365296803652968,0.37699067155299876,0.2692110223367831
3.0,3.0,0.5,0.5974842767295597,0.5444126074498568,0.37699067155299876,0.2692110223367831
4.0,0.0,0.6835443037974683,0.5023255813953489,0.579088471849866,0.4301581877475448,0.3278479044534558
4.0,1.0,0.3,0.058823529411764705,0.09836065573770492,0.4301581877475448,0.3278479044534558
4.0,2.0,0.42657342657342656,0.5350877192982456,0.47470817120622566,0.4301581877475448,0.3278479044534558
4.0,3.0,0.4824561403508772,0.6918238993710691,0.5684754521963824,0.4301581877475448,0.3278479044534558
5.0,0.0,0.7421875,0.4418604651162791,0.5539358600583091,0.46287964381202984,0.34013334796691264
5.0,1.0,0.34615384615384615,0.17647058823529413,0.23376623376623376,0.46287964381202984,0.34013334796691264
5.0,2.0,0.43558282208588955,0.6228070175438597,0.5126353790613718,0.46287964381202984,0.34013334796691264
5.0,3.0,0.47297297297297297,0.660377358490566,0.5511811023622047,0.46287964381202984,0.34013334796691264
6.0,0.0,0.736,0.42790697674418604,0.5411764705882353,0.44592471145535495,0.3246456128885786
6.0,1.0,0.26666666666666666,0.1568627450980392,0.19753086419753085,0.44592471145535495,0.3246456128885786
6.0,2.0,0.4093567251461988,0.6140350877192983,0.49122807017543857,0.44592471145535495,0.3246456128885786
6.0,3.0,0.4835680751173709,0.6477987421383647,0.553763440860215,0.44592471145535495,0.3246456128885786
7.0,0.0,0.7364341085271318,0.4418604651162791,0.5523255813953488,0.44468379002460834,0.316970048473325
7.0,1.0,0.225,0.17647058823529413,0.1978021978021978,0.44468379002460834,0.316970048473325
7.0,2.0,0.41916167664670656,0.6140350877192983,0.498220640569395,0.44468379002460834,0.316970048473325
7.0,3.0,0.4729064039408867,0.6037735849056604,0.5303867403314917,0.44468379002460834,0.316970048473325
8.0,0.0,0.734375,0.4372093023255814,0.5481049562682215,0.4537332775482874,0.3265270684013732
8.0,1.0,0.2564102564102564,0.19607843137254902,0.2222222222222222,0.4537332775482874,0.3265270684013732
8.0,2.0,0.42138364779874216,0.5877192982456141,0.4908424908424908,0.4537332775482874,0.3265270684013732
8.0,3.0,0.4835680751173709,0.6477987421383647,0.553763440860215,0.4537332775482874,0.3265270684013732
9.0,0.0,0.7586206896551724,0.40930232558139534,0.5317220543806647,0.44453995396141444,0.3167426026443977
9.0,1.0,0.21153846153846154,0.21568627450980393,0.21359223300970873,0.44453995396141444,0.3167426026443977
9.0,2.0,0.40993788819875776,0.5789473684210527,0.48,0.44453995396141444,0.3167426026443977
9.0,3.0,0.4857142857142857,0.6415094339622641,0.5528455284552846,0.44453995396141444,0.3167426026443977
10.0,0.0,0.7443609022556391,0.4604651162790698,0.5689655172413793,0.4560191450013029,0.3276781696299442
10.0,1.0,0.21153846153846154,0.21568627450980393,0.21359223300970873,0.4560191450013029,0.3276781696299442
10.0,2.0,0.4358974358974359,0.5964912280701754,0.5037037037037037,0.4560191450013029,0.3276781696299442
10.0,3.0,0.48484848484848486,0.6037735849056604,0.5378151260504201,0.4560191450013029,0.3276781696299442
11.0,0.0,0.7421875,0.4418604651162791,0.5539358600583091,0.4555802822354009,0.3312665541352654
11.0,1.0,0.23255813953488372,0.19607843137254902,0.2127659574468085,0.4555802822354009,0.3312665541352654
11.0,2.0,0.42771084337349397,0.6228070175438597,0.5071428571428571,0.4555802822354009,0.3312665541352654
11.0,3.0,0.4900990099009901,0.6226415094339622,0.5484764542936288,0.4555802822354009,0.3312665541352654
12.0,0.0,0.7441860465116279,0.44651162790697674,0.5581395348837209,0.4649095090955556,0.33802029870872546
12.0,1.0,0.275,0.21568627450980393,0.24175824175824176,0.4649095090955556,0.33802029870872546
12.0,2.0,0.43373493975903615,0.631578947368421,0.5142857142857142,0.4649095090955556,0.33802029870872546
12.0,3.0,0.4852941176470588,0.6226415094339622,0.5454545454545454,0.4649095090955556,0.33802029870872546
13.0,0.0,0.7480916030534351,0.4558139534883721,0.5664739884393064,0.4564499577839839,0.328503786680247
13.0,1.0,0.22448979591836735,0.21568627450980393,0.22,0.4564499577839839,0.328503786680247
13.0,2.0,0.42592592592592593,0.6052631578947368,0.5,0.4564499577839839,0.328503786680247
13.0,3.0,0.4873096446700508,0.6037735849056604,0.5393258426966292,0.4564499577839839,0.328503786680247
14.0,0.0,0.753731343283582,0.4697674418604651,0.5787965616045845,0.4622124664301983,0.3327020947868392
14.0,1.0,0.22641509433962265,0.23529411764705882,0.23076923076923078,0.4622124664301983,0.3327020947868392
14.0,2.0,0.43870967741935485,0.5964912280701754,0.5055762081784386,0.4622124664301983,0.3327020947868392
14.0,3.0,0.48223350253807107,0.5974842767295597,0.5337078651685393,0.4622124664301983,0.3327020947868392
15.0,0.0,0.746268656716418,0.46511627906976744,0.5730659025787965,0.4557189069343397,0.3198590981402432
