Epoch,Class,Precision,Recall,Class F1,Macro F1,MCC
0.0,0.0,0.37291280148423006,1.0,0.5432432432432432,0.1358108108108108,0.0
0.0,1.0,0.0,0.0,0.0,0.1358108108108108,0.0
0.0,2.0,0.0,0.0,0.0,0.1358108108108108,0.0
0.0,3.0,0.0,0.0,0.0,0.1358108108108108,0.0
1.0,0.0,0.45,0.08955223880597014,0.14937759336099585,0.2209797061722295,0.01202053689870999
1.0,1.0,0.17647058823529413,0.10344827586206896,0.13043478260869565,0.2209797061722295,0.01202053689870999
1.0,2.0,0.21428571428571427,0.192,0.20253164556962025,0.2209797061722295,0.01202053689870999
1.0,3.0,0.28895184135977336,0.6580645161290323,0.4015748031496063,0.2209797061722295,0.01202053689870999
2.0,0.0,0.5555555555555556,0.4228855721393035,0.480225988700565,0.3241392877772394,0.15727152355118248
2.0,1.0,0.16129032258064516,0.08620689655172414,0.11235955056179775,0.3241392877772394,0.15727152355118248
2.0,2.0,0.3037974683544304,0.192,0.23529411764705882,0.3241392877772394,0.15727152355118248
2.0,3.0,0.36594202898550726,0.6516129032258065,0.46867749419953597,0.3241392877772394,0.15727152355118248
3.0,0.0,0.5986842105263158,0.4527363184079602,0.5155807365439093,0.35236857724004084,0.19344358188213998
3.0,1.0,0.1875,0.10344827586206896,0.13333333333333333,0.35236857724004084,0.19344358188213998
3.0,2.0,0.3448275862068966,0.24,0.2830188679245283,0.35236857724004084,0.19344358188213998
3.0,3.0,0.376865671641791,0.6516129032258065,0.47754137115839246,0.35236857724004084,0.19344358188213998
4.0,0.0,0.6,0.5373134328358209,0.5669291338582677,0.38049456445216573,0.22894058566452205
4.0,1.0,0.1891891891891892,0.1206896551724138,0.14736842105263157,0.38049456445216573,0.22894058566452205
4.0,2.0,0.38636363636363635,0.272,0.3192488262910798,0.38049456445216573,0.22894058566452205
4.0,3.0,0.405982905982906,0.6129032258064516,0.4884318766066838,0.38049456445216573,0.22894058566452205
5.0,0.0,0.5870646766169154,0.5870646766169154,0.5870646766169154,0.3927134274838269,0.24535532560124118
5.0,1.0,0.20512820512820512,0.13793103448275862,0.16494845360824742,0.3927134274838269,0.24535532560124118
5.0,2.0,0.4024390243902439,0.264,0.3188405797101449,0.3927134274838269,0.24535532560124118
5.0,3.0,0.42857142857142855,0.6,0.5,0.3927134274838269,0.24535532560124118
6.0,0.0,0.5638766519823789,0.6368159203980099,0.5981308411214953,0.3829330116364763,0.24318184689294006
6.0,1.0,0.1875,0.10344827586206896,0.13333333333333333,0.3829330116364763,0.24318184689294006
6.0,2.0,0.410958904109589,0.24,0.30303030303030304,0.3829330116364763,0.24318184689294006
6.0,3.0,0.43478260869565216,0.5806451612903226,0.4972375690607735,0.3829330116364763,0.24318184689294006
7.0,0.0,0.5617021276595745,0.6567164179104478,0.6055045871559633,0.3701444904453749,0.23680142321803418
7.0,1.0,0.11764705882352941,0.06896551724137931,0.08695652173913043,0.3701444904453749,0.23680142321803418
7.0,2.0,0.43283582089552236,0.232,0.3020833333333333,0.3701444904453749,0.23680142321803418
7.0,3.0,0.42857142857142855,0.5612903225806452,0.4860335195530726,0.3701444904453749,0.23680142321803418
8.0,0.0,0.5635593220338984,0.6616915422885572,0.6086956521739131,0.396854193313079,0.25554070971097487
8.0,1.0,0.20588235294117646,0.1206896551724138,0.15217391304347827,0.396854193313079,0.25554070971097487
8.0,2.0,0.44155844155844154,0.272,0.33663366336633666,0.396854193313079,0.25554070971097487
8.0,3.0,0.4427083333333333,0.5483870967741935,0.4899135446685879,0.396854193313079,0.25554070971097487
9.0,0.0,0.5682819383259912,0.6417910447761194,0.602803738317757,0.4028756685095572,0.2560566925683277
9.0,1.0,0.20408163265306123,0.1724137931034483,0.18691588785046728,0.4028756685095572,0.2560566925683277
9.0,2.0,0.4383561643835616,0.256,0.32323232323232326,0.4028756685095572,0.2560566925683277
9.0,3.0,0.45263157894736844,0.5548387096774193,0.4985507246376812,0.4028756685095572,0.2560566925683277
10.0,0.0,0.5573770491803278,0.6766169154228856,0.6112359550561798,0.3732511470398099,0.2373543815213426
10.0,1.0,0.15625,0.08620689655172414,0.1111111111111111,0.3732511470398099,0.2373543815213426
10.0,2.0,0.4307692307692308,0.224,0.29473684210526313,0.3732511470398099,0.2373543815213426
10.0,3.0,0.42424242424242425,0.5419354838709678,0.47592067988668557,0.3732511470398099,0.2373543815213426
11.0,0.0,0.5680933852140078,0.7263681592039801,0.6375545851528385,0.39535653684975414,0.27303242664539024
11.0,1.0,0.15384615384615385,0.10344827586206896,0.12371134020618557,0.39535653684975414,0.27303242664539024
11.0,2.0,0.45454545454545453,0.24,0.31413612565445026,0.39535653684975414,0.27303242664539024
11.0,3.0,0.4745762711864407,0.5419354838709678,0.5060240963855421,0.39535653684975414,0.27303242664539024
12.0,0.0,0.5527272727272727,0.7562189054726368,0.6386554621848739,0.3911593815244931,0.2695339349097853
12.0,1.0,0.15151515151515152,0.08620689655172414,0.10989010989010989,0.3911593815244931,0.2695339349097853
12.0,2.0,0.47761194029850745,0.256,0.3333333333333333,0.3911593815244931,0.2695339349097853
12.0,3.0,0.4695121951219512,0.4967741935483871,0.4827586206896552,0.3911593815244931,0.2695339349097853
13.0,0.0,0.5746268656716418,0.7661691542288557,0.6567164179104478,0.4048969580526084,0.29687647261098477
13.0,1.0,0.13333333333333333,0.06896551724137931,0.09090909090909091,0.4048969580526084,0.29687647261098477
13.0,2.0,0.5070422535211268,0.288,0.3673469387755102,0.4048969580526084,0.29687647261098477
13.0,3.0,0.4823529411764706,0.5290322580645161,0.5046153846153846,0.4048969580526084,0.29687647261098477
14.0,0.0,0.5653710247349824,0.7960199004975125,0.6611570247933884,0.41049821915680995,0.30279091757880866
14.0,1.0,0.14705882352941177,0.08620689655172414,0.10869565217391304,0.41049821915680995,0.30279091757880866
14.0,2.0,0.5454545454545454,0.288,0.3769633507853403,0.41049821915680995,0.30279091757880866
14.0,3.0,0.4935897435897436,0.4967741935483871,0.49517684887459806,0.41049821915680995,0.30279091757880866
15.0,0.0,0.575,0.8009950248756219,0.6694386694386695,0.40938496301272326,0.305388465885207
15.0,1.0,0.15151515151515152,0.08620689655172414,0.10989010989010989,0.40938496301272326,0.305388465885207
15.0,2.0,0.53125,0.272,0.35978835978835977,0.40938496301272326,0.305388465885207
15.0,3.0,0.4876543209876543,0.5096774193548387,0.49842271293375395,0.40938496301272326,0.305388465885207
16.0,0.0,0.5845588235294118,0.7910447761194029,0.6723044397463002,0.4178849423322071,0.3112726886666521
16.0,1.0,0.18181818181818182,0.10344827586206896,0.13186813186813187,0.4178849423322071,0.3112726886666521
16.0,2.0,0.5147058823529411,0.28,0.3626943005181347,0.4178849423322071,0.3112726886666521
16.0,3.0,0.4879518072289157,0.5225806451612903,0.5046728971962616,0.4178849423322071,0.3112726886666521
17.0,0.0,0.5740740740740741,0.7711442786069652,0.6581740976645435,0.409458724107186,0.29509293101071604
