Epoch,Class,Precision,Recall,Class F1,Macro F1,MCC
0.0,0.0,0.37291280148423006,1.0,0.5432432432432432,0.1358108108108108,0.0
0.0,1.0,0.0,0.0,0.0,0.1358108108108108,0.0
0.0,2.0,0.0,0.0,0.0,0.1358108108108108,0.0
0.0,3.0,0.0,0.0,0.0,0.1358108108108108,0.0
1.0,0.0,0.3333333333333333,0.004975124378109453,0.00980392156862745,0.15490806139155386,0.043688485775059085
1.0,1.0,0.15384615384615385,0.10344827586206896,0.12371134020618557,0.15490806139155386,0.043688485775059085
1.0,2.0,0.2857142857142857,0.016,0.030303030303030304,0.15490806139155386,0.043688485775059085
1.0,3.0,0.3,0.9483870967741935,0.4558139534883721,0.15490806139155386,0.043688485775059085
2.0,0.0,0.5,0.014925373134328358,0.028985507246376812,0.1908640523665881,0.09203608594983433
2.0,1.0,0.0,0.0,0.0,0.1908640523665881,0.09203608594983433
2.0,2.0,0.38235294117647056,0.208,0.2694300518134715,0.1908640523665881,0.09203608594983433
2.0,3.0,0.3108695652173913,0.9225806451612903,0.46504065040650405,0.1908640523665881,0.09203608594983433
3.0,0.0,0.0,0.0,0.0,0.18866065690220885,0.10635232697512371
3.0,1.0,0.0,0.0,0.0,0.18866065690220885,0.10635232697512371
3.0,2.0,0.42857142857142855,0.216,0.2872340425531915,0.18866065690220885,0.10635232697512371
3.0,3.0,0.310126582278481,0.9483870967741935,0.46740858505564387,0.18866065690220885,0.10635232697512371
4.0,0.0,0.275,0.05472636815920398,0.0912863070539419,0.2123025625640404,0.05934747935088476
4.0,1.0,0.0,0.0,0.0,0.2123025625640404,0.05934747935088476
4.0,2.0,0.35789473684210527,0.272,0.3090909090909091,0.2123025625640404,0.05934747935088476
4.0,3.0,0.31094527363184077,0.8064516129032258,0.4488330341113106,0.2123025625640404,0.05934747935088476
5.0,0.0,0.40476190476190477,0.0845771144278607,0.13991769547325103,0.22338065705824459,0.03697652457615089
5.0,1.0,0.06666666666666667,0.017241379310344827,0.0273972602739726,0.22338065705824459,0.03697652457615089
5.0,2.0,0.28823529411764703,0.392,0.33220338983050846,0.22338065705824459,0.03697652457615089
5.0,3.0,0.2948717948717949,0.5935483870967742,0.39400428265524623,0.22338065705824459,0.03697652457615089
6.0,0.0,0.3333333333333333,0.07462686567164178,0.12195121951219512,0.23557750035383804,0.07559799691801547
6.0,1.0,0.08333333333333333,0.017241379310344827,0.02857142857142857,0.23557750035383804,0.07559799691801547
6.0,2.0,0.3359375,0.344,0.33992094861660077,0.23557750035383804,0.07559799691801547
6.0,3.0,0.3248587570621469,0.7419354838709677,0.4518664047151277,0.23557750035383804,0.07559799691801547
7.0,0.0,0.35,0.06965174129353234,0.11618257261410789,0.2247733785224837,0.05266854333989459
7.0,1.0,0.058823529411764705,0.017241379310344827,0.02666666666666667,0.2247733785224837,0.05266854333989459
7.0,2.0,0.31386861313868614,0.344,0.3282442748091603,0.2247733785224837,0.05266854333989459
7.0,3.0,0.3101449275362319,0.6903225806451613,0.428,0.2247733785224837,0.05266854333989459
8.0,0.0,0.3484848484848485,0.11442786069651742,0.17228464419475656,0.22954015896563282,0.06011184254129638
8.0,1.0,0.0,0.0,0.0,0.22954015896563282,0.06011184254129638
8.0,2.0,0.3902439024390244,0.256,0.30917874396135264,0.22954015896563282,0.06011184254129638
8.0,3.0,0.30512820512820515,0.7677419354838709,0.43669724770642204,0.22954015896563282,0.06011184254129638
9.0,0.0,0.4153846153846154,0.13432835820895522,0.20300751879699247,0.24896709443620202,0.06925797620970799
9.0,1.0,0.2,0.017241379310344827,0.031746031746031744,0.24896709443620202,0.06925797620970799
9.0,2.0,0.28735632183908044,0.4,0.33444816053511706,0.24896709443620202,0.06925797620970799
9.0,3.0,0.3254237288135593,0.6193548387096774,0.4266666666666667,0.24896709443620202,0.06925797620970799
10.0,0.0,0.38333333333333336,0.11442786069651742,0.17624521072796934,0.26633333464411596,0.07269242869448043
10.0,1.0,0.1509433962264151,0.13793103448275862,0.14414414414414414,0.26633333464411596,0.07269242869448043
10.0,2.0,0.3364485981308411,0.288,0.3103448275862069,0.26633333464411596,0.07269242869448043
10.0,3.0,0.322884012539185,0.6645161290322581,0.4345991561181435,0.26633333464411596,0.07269242869448043
11.0,0.0,0.3476190476190476,0.36318407960199006,0.35523114355231145,0.25551112423320727,0.03232781015618981
11.0,1.0,0.0,0.0,0.0,0.25551112423320727,0.03232781015618981
11.0,2.0,0.3684210526315789,0.224,0.27860696517412936,0.25551112423320727,0.03232781015618981
11.0,3.0,0.3134920634920635,0.5096774193548387,0.3882063882063882,0.25551112423320727,0.03232781015618981
12.0,0.0,0.35294117647058826,0.208955223880597,0.2625,0.2804838952010543,0.04860382940187731
12.0,1.0,0.14666666666666667,0.1896551724137931,0.16541353383458646,0.2804838952010543,0.04860382940187731
12.0,2.0,0.3333333333333333,0.296,0.3135593220338983,0.2804838952010543,0.04860382940187731
12.0,3.0,0.3162393162393162,0.4774193548387097,0.38046272493573263,0.2804838952010543,0.04860382940187731
13.0,0.0,0.3611111111111111,0.19402985074626866,0.2524271844660194,0.25075044652693457,0.05845547854489973
13.0,1.0,0.0,0.0,0.0,0.25075044652693457,0.05845547854489973
13.0,2.0,0.3763440860215054,0.28,0.3211009174311927,0.25075044652693457,0.05845547854489973
13.0,3.0,0.31875,0.6580645161290323,0.42947368421052634,0.25075044652693457,0.05845547854489973
14.0,0.0,0.3791208791208791,0.34328358208955223,0.360313315926893,0.2413577375906974,0.021413931841599527
14.0,1.0,0.05263157894736842,0.017241379310344827,0.025974025974025976,0.2413577375906974,0.021413931841599527
14.0,2.0,0.3695652173913043,0.136,0.19883040935672514,0.2413577375906974,0.021413931841599527
14.0,3.0,0.2910958904109589,0.5483870967741935,0.38031319910514544,0.2413577375906974,0.021413931841599527
15.0,0.0,0.3721590909090909,0.6517412935323383,0.47377938517179025,0.2582335786873138,0.03944617681483033
15.0,1.0,0.15384615384615385,0.034482758620689655,0.056338028169014086,0.2582335786873138,0.03944617681483033
15.0,2.0,0.37777777777777777,0.136,0.2,0.2582335786873138,0.03944617681483033
15.0,3.0,0.3333333333333333,0.27741935483870966,0.3028169014084507,0.2582335786873138,0.03944617681483033
16.0,0.0,0.34418604651162793,0.3681592039800995,0.3557692307692308,0.2513108352003983,0.02381120343862283
16.0,1.0,0.0,0.0,0.0,0.2513108352003983,0.02381120343862283
16.0,2.0,0.3880597014925373,0.208,0.2708333333333333,0.2513108352003983,0.02381120343862283
16.0,3.0,0.3035019455252918,0.5032258064516129,0.3786407766990291,0.2513108352003983,0.02381120343862283
17.0,0.0,0.3293172690763052,0.4079601990049751,0.36444444444444446,0.2255565655472351,-0.010982703280722055
17.0,1.0,0.3333333333333333,0.034482758620689655,0.0625,0.2255565655472351,-0.010982703280722055
17.0,2.0,0.2692307692307692,0.056,0.09271523178807947,0.2255565655472351,-0.010982703280722055
